GeneName,Trait,GeneSymbol
Zm00001d010342,RGBVI,-
Zm00001d010398,COM/GreenCoverage,-
Zm00001d010411,CIVE,iaa38
Zm00001d010456,ints,-
Zm00001d010476,NDI,cdk2
Zm00001d010480,RGBVI,LOC100279902
Zm00001d010546,gn,-
Zm00001d010552,NDI,-
Zm00001d010576,IKAW/RGBR,-
Zm00001d010599,MGRVI/veg,-
Zm00001d010639,GRVI,-
Zm00001d010700,GLI2,IDP8437
Zm00001d010719,rn,ktf1
Zm00001d010724,COM/GreenCoverage,umc1130
Zm00001d010777,gn,-
Zm00001d010850,rn,pco095139
Zm00001d010882,NDI/ExG,-
Zm00001d010883,ints/rn,-
Zm00001d010888,GRVI,-
Zm00001d010908,ExR/GLI2,LOC100383425
Zm00001d010927,RGBR/rn,cl9164_1a
Zm00001d010928,RGBVI,met6
Zm00001d010962,RGBVI,-
Zm00001d010965,ExG,IDP9049
Zm00001d010974,ints/GLI/gn,phd17
Zm00001d011075,RGBVI,-
Zm00001d011099,GRVI,mmt1
Zm00001d011219,IKAW,-
Zm00001d011220,NDI,cl34516_1b
Zm00001d011263,RGBR,pco098642
Zm00001d011272,GreenCoverage,cl12769_-1
Zm00001d011289,COM/GreenCoverage,Zm00001d011289
Zm00001d011304,GRVI,-
Zm00001d011378,GLI2,-
Zm00001d011386,MGRVI/veg/ExGR,Zm00001d011386
Zm00001d011400,rn,-
Zm00001d011421,rn,-
Zm00001d011492,NDI/gn,Zm00001d011492
Zm00001d011511,GRVI,-
Zm00001d011518,IKAW,si687057a06d
Zm00001d011532,GRVI/IKAW/NDI/RGBR,Zm00001d011532
Zm00001d011541,CIVE/GRVI,pco061312c
Zm00001d011550,MGRVI/veg/ExG/ExGR/GLI,-
Zm00001d011560,RGBR/RGBVI,ddt5/hb113/LOC103636162
Zm00001d011598,GRVI,-
Zm00001d011626,GRVI,-
Zm00001d011644,GRVI,Zm00001eb360840
Zm00001d011658,ints/NDI,-
Zm00001d011662,RGBVI,-
Zm00001d011666,GRVI,cdpk21
Zm00001d011667,ExR/GLI2,-
Zm00001d011705,rn,rbap1
Zm00001d011713,NDI/RGBR/GLI,-
Zm00001d011743,ints,-
Zm00001d011750,rn,crk1
Zm00001d011764,gn,yuc8
Zm00001d011791,ExGR/ExR/gn,-
Zm00001d011931,RGBVI,-
Zm00001d011959,CIVE/COM/GreenCoverage,xt6
Zm00001d011976,ints,-
Zm00001d011997,veg,dnaj175
Zm00001d012049,GLI2,c3h49
Zm00001d012054,GLI2,-
Zm00001d012061,GRVI/rn,IDP8974
Zm00001d012102,rn,mgt8
Zm00001d012130,rn,-
Zm00001d012137,gn,cl13065_1b
Zm00001d012148,GRVI,-
Zm00001d012156,rn,cl20634_1b
Zm00001d012172,gn,-
Zm00001d012173,GRVI,pco070293b
Zm00001d012247,GRVI,CL9311_1
Zm00001d012284,NDI,Zm00001d012284
Zm00001d012297,GRVI,-
Zm00001d012308,RGBR,-
Zm00001d012349,NDI,-
Zm00001d012385,ints,Zm00001eb367710
Zm00001d012413,GLI2,wrky66
Zm00001d012441,GRVI,cct3
Zm00001d012446,CIVE,-
Zm00001d012451,veg,cl28155_-2
Zm00001d012458,ints,-
Zm00001d012467,MGRVI/veg/COM/ExG/ExGR/ExR/GLI/GreenCoverage,-
Zm00001d012483,ExR,-
Zm00001d012493,veg,-
Zm00001d012537,GLI,-
Zm00001d012538,ints,Zm00001d012538
Zm00001d012559,rn,IDP279
Zm00001d012561,ints/GreenCoverage,psei2
Zm00001d012563,RGBVI,-
Zm00001d012573,ints,pap16
Zm00001d012578,NDI,-
Zm00001d012594,COM,GRMZM2G139460
Zm00001d012595,ints/COM,-
Zm00001d012598,COM,-
Zm00001d012614,GRVI/ints,cngc12
Zm00001d012629,GLI2,-
Zm00001d012630,MGRVI/veg/ExG/ExGR/GLI/GreenCoverage,-
Zm00001d012642,ints,bhlh79
Zm00001d012661,ints,LOC100384291
Zm00001d012663,ints,mate45
Zm00001d012664,CIVE/MGRVI/veg/COM/ExGR/GreenCoverage,cl21045_1
Zm00001d012675,COM,gst1
Zm00001d012699,ints,cl9001_1b
Zm00001d012716,GLI2,-
Zm00001d012725,IKAW/GLI2,tcptf29
Zm00001d012761,GLI2,-
Zm00001d012778,NDI,-
Zm00001d012861,GreenCoverage,-
Zm00001d012866,MGRVI/veg/ExGR/ExR/GLI/gn,-
Zm00001d012894,NDI,-
Zm00001d012963,gn,dof33/dof31
Zm00001d012970,COM/GreenCoverage,-
Zm00001d012974,ExR,-
Zm00001d012993,GRVI,iws2
Zm00001d012999,NDI,-
Zm00001d013006,IKAW/gn,LOC103625778
Zm00001d013008,gn,-
Zm00001d013040,rn,gpm707
Zm00001d013041,RGBVI,cybc7
Zm00001d013042,IKAW,csu33a
Zm00001d013059,ExR,pco085879
Zm00001d013070,rn,myb160
Zm00001d013073,NDI,bhlh159
Zm00001d013094,IKAW,mab17
Zm00001d013107,IKAW,-
Zm00001d013154,IKAW/veg/GLI,iaa20
Zm00001d013162,RGBVI,Zm00001d013162
Zm00001d013210,NDI,-
Zm00001d013211,GRVI,-
Zm00001d013267,ExR,tlk2
Zm00001d013335,rn,-
Zm00001d013346,NDI,grftf14
Zm00001d013351,GreenCoverage,-
Zm00001d013376,veg/gn,-
Zm00001d013379,rn,-
Zm00001d013383,ExR,-
Zm00001d013415,IKAW,GRMZM2G158359
Zm00001d013426,RGBVI,cl692_1b
Zm00001d013427,ExG,cl11117_1a
Zm00001d013444,ints,-
Zm00001d013447,ints,pco101674b
Zm00001d013463,rn,-
Zm00001d013484,COM,-
Zm00001d013496,GRVI,LOC100273078
Zm00001d013544,GRVI,-
Zm00001d013555,MGRVI/RGBVI/veg/COM/ExG/ExGR/GLI/GreenCoverage,grftf17
Zm00001d013559,IKAW,knox10
Zm00001d013572,RGBR,-
Zm00001d013596,NDI,hagtf22
Zm00001d013597,gn,hagtf22/LOC103626013
Zm00001d013624,GLI,cl55469_1
Zm00001d013625,ints,lbd26
Zm00001d013631,RGBVI,tbp2
Zm00001d013653,GRVI,cl14707_1b
Zm00001d013658,ExG,umc2512
Zm00001d013706,MGRVI/veg/ExGR,tha9
Zm00001d013746,MGRVI/RGBVI/veg/ExG/ExGR/GLI,bnlg1046
Zm00001d013752,ints,-
Zm00001d013753,MGRVI/veg/ExG/ExGR/GLI,cyp34
Zm00001d013755,GLI2,-
Zm00001d013800,GRVI,-
Zm00001d013821,MGRVI/veg/COM/ExGR,-
Zm00001d013822,MGRVI/veg/COM/ExGR,-
Zm00001d013828,veg,chr16
Zm00001d013831,CIVE/COM/ExG/ExR/GreenCoverage,pco067113d
Zm00001d013899,ints,-
Zm00001d013964,veg,-
Zm00001d013969,IKAW,-
Zm00001d013996,ints,-
Zm00001d014017,ints,-
Zm00001d014074,ints,cct27
Zm00001d014085,ints,IDP6932
Zm00001d014109,CIVE/MGRVI/RGBVI/veg/COM/ExG/ExGR/GLI/GreenCoverage,-
Zm00001d014122,RGBR,-
Zm00001d014167,RGBVI,-
Zm00001d014185,RGBR,-
Zm00001d014188,RGBVI,LOC100193152
Zm00001d014216,GLI,-
Zm00001d014254,IKAW/NDI,-
Zm00001d014255,GRVI,-
Zm00001d014256,CIVE/GreenCoverage,-
Zm00001d014263,MGRVI/GLI,-
Zm00001d014278,ExGR/ExR/GLI2,ras11E3
Zm00001d014306,GLI2,pco077445
Zm00001d014348,gn,-
Zm00001d014350,RGBVI,-
Zm00001d014377,ints,arftf18
Zm00001d014413,ExG,tti1
Zm00001d014414,NDI,LOC100502179
Zm00001d014445,GRVI,-
Zm00001d014447,RGBVI,-
Zm00001d014471,ExR,dek55
Zm00001d014487,CIVE/ints/COM/GreenCoverage,-
Zm00001d014517,ExG,-
Zm00001d014519,RGBR,LOC100303964
Zm00001d014521,ints,-
Zm00001d014528,RGBVI,-
Zm00001d014535,ExR,Zm00001d014535
Zm00001d014540,GRVI,IDP4479
Zm00001d014562,GreenCoverage,jih4
Zm00001d014568,IKAW/GLI,-
Zm00001d014572,NDI/COM/ExR/gn,LOC100191246
Zm00001d014582,GLI2,-
Zm00001d014584,rn,-
Zm00001d014590,GLI,-
Zm00001d014616,gn,-
Zm00001d014669,COM,hma2
Zm00001d014674,ints/NDI/COM/GreenCoverage,IDP8434
Zm00001d014685,IKAW,-
Zm00001d014695,ints,LOC103626416
Zm00001d014750,ExG,-
Zm00001d014771,ints,pza02676
Zm00001d014867,MGRVI/ExGR/ExR/GLI2,cl858_1a
Zm00001d014897,GLI,umc1373
Zm00001d014918,NDI,-
Zm00001d014928,IKAW,-
Zm00001d014946,CIVE/GreenCoverage,Zm00001d014946
Zm00001d014962,MGRVI/veg/ExGR,IDP4729
Zm00001d014988,RGBR,-
Zm00001d014991,MGRVI/veg/ExG/ExGR/GLI,-
Zm00001d015012,ExG,-
Zm00001d015024,ExG,-
Zm00001d015032,ints,acr19
Zm00001d015063,GRVI,-
Zm00001d015097,CIVE/GreenCoverage,Zm00001d015097
Zm00001d015118,ExG,bzip14
Zm00001d015150,GRVI,-
Zm00001d015180,IKAW,pco082324
Zm00001d015212,GRVI,recq4
Zm00001d015239,ints,LOC100285643
Zm00001d015253,RGBR,-
Zm00001d015294,GRVI/NDI,-
Zm00001d015349,ExG,-
Zm00001d015372,MGRVI/veg/ExG/ExGR/GLI,-
Zm00001d015379,NDI,Zm00001d015379
Zm00001d015425,gn,-
Zm00001d015435,ints,cl6312_1a
Zm00001d015443,ExGR,-
Zm00001d015446,ints/COM,-
Zm00001d015451,CIVE,sbp1
Zm00001d015474,NDI,-
Zm00001d015477,ExG,umc1591
Zm00001d015487,GRVI,-
Zm00001d015493,MGRVI/RGBVI/veg/ExG/ExGR/ExR/GLI/gn,atg11b
Zm00001d015499,IKAW/ExG,si687072e08
Zm00001d015529,MGRVI/veg/ExG/ExGR/GLI,-
Zm00001d015531,RGBVI,-
Zm00001d015534,NDI,-
Zm00001d015602,GLI2,-
Zm00001d015634,NDI/RGBR/GLI2/gn,-
Zm00001d015692,gn,npi571
Zm00001d015693,GLI2,-
Zm00001d015703,rn,-
Zm00001d015715,IKAW,-
Zm00001d015730,GLI,pco119438
Zm00001d015775,gn,mads80
Zm00001d015779,gn,grf23
Zm00001d015821,rn,pgl21
Zm00001d015876,rn,-
Zm00001d015890,GLI2,-
Zm00001d015894,RGBVI/gn,-
Zm00001d015906,ExR,-
Zm00001d015926,NDI,-
Zm00001d015985,ints/RGBR,sxd1
Zm00001d015999,ExR/GLI/GLI2,LOC103626926
Zm00001d016037,NDI/RGBR/RGBVI,-
Zm00001d016045,GRVI,-
Zm00001d016106,RGBR/gn,prh89
Zm00001d016131,ints,Zm00001d016131
Zm00001d016156,veg/ExGR/gn,-
Zm00001d016193,veg,IDP5041
Zm00001d016197,rn,-
Zm00001d016206,CIVE,-
Zm00001d016228,GLI,-
Zm00001d016268,NDI,-
Zm00001d016311,RGBR,pco081178a
Zm00001d016315,IKAW,-
Zm00001d016322,GLI2,-
Zm00001d016327,ExR/gn,-
Zm00001d016395,rn,IDP5848
Zm00001d016409,NDI,-
Zm00001d016431,IKAW,-
Zm00001d016433,MGRVI/RGBVI/veg/ExG/ExGR/ExR/GLI/gn,-
Zm00001d016452,CIVE/GRVI/IKAW/GreenCoverage,IDP2401
Zm00001d016458,NDI,AY105205
Zm00001d016469,GLI2,csu842a
Zm00001d016530,GRVI,-
Zm00001d016580,NDI,IDP7940
Zm00001d016581,IKAW/MGRVI,IDP3982
Zm00001d016638,rn,-
Zm00001d016640,GLI,-
Zm00001d016662,ints,LOC100277415
Zm00001d016707,GRVI/MGRVI/veg/ExG/ExGR/ExR/GLI,-
Zm00001d016720,GreenCoverage,pco136495a
Zm00001d016850,GLI2,vp15
Zm00001d016851,GLI2,-
Zm00001d016853,GLI2,IDP8019
Zm00001d016854,ints,Zm00001d016854
Zm00001d016855,GLI2,pco116691
Zm00001d016863,MGRVI/veg/ExGR/GLI,ppr310
Zm00001d016893,veg,cl4994_1
Zm00001d016916,rn,umc1264
Zm00001d016929,GRVI,-
Zm00001d016935,CIVE/COM/GreenCoverage,nfa104
Zm00001d016955,GRVI,-
Zm00001d016990,ints/COM,-
Zm00001d017042,RGBR,cl10759_1b
Zm00001d017137,ints,-
Zm00001d017138,ints,bhlh199
Zm00001d017165,ints,farl9
Zm00001d017166,GRVI,si687081d11c
Zm00001d017175,ints/MGRVI,larp13
Zm00001d017205,RGBR,LOC103627409
Zm00001d017226,ints/MGRVI/NDI/RGBVI/veg/ExG/ExGR/ExR/GLI/gn,-
Zm00001d017252,ExG,cl36733_1b
Zm00001d017258,gn,scoal1
Zm00001d017276,ExG,pal8
Zm00001d017281,gn,cngc7
Zm00001d017294,ExR,ga2ox4
Zm00001d017308,IKAW/NDI/ExR/GLI2/gn,-
Zm00001d017318,RGBR/GLI2,-
Zm00001d017328,gn,-
Zm00001d017352,RGBVI,nit1
Zm00001d017379,RGBR,trx3
Zm00001d017391,GRVI,yab15
Zm00001d017398,ints/RGBR,cl49804_1
Zm00001d017436,RGBR,-
Zm00001d017507,GLI,mybr11
Zm00001d017522,NDI,sbt19
Zm00001d017553,ints,nrg14
Zm00001d017575,ints,dof22
Zm00001d017609,MGRVI/ExGR,mybr100
Zm00001d017613,GLI,-
Zm00001d017625,GLI2,-
Zm00001d017692,RGBVI/ExG,hin21
Zm00001d017778,GRVI,bhlh29
Zm00001d017810,ExG,-
Zm00001d017812,ints,LOC100278165
Zm00001d017818,NDI,si605050e03
Zm00001d017848,rn,pco143558
Zm00001d017860,ExR/GLI,IDP36
Zm00001d017872,GLI2,GRMZM2G109039
Zm00001d017882,RGBR,IDP89
Zm00001d017888,IKAW,-
Zm00001d017906,RGBVI,-
Zm00001d017987,NDI,Zm00001d017987
Zm00001d017997,GRVI,-
Zm00001d018005,GLI2,-
Zm00001d018034,gn,ggh1
Zm00001d018047,gn,-
Zm00001d018055,gn,-
Zm00001d018133,ExG,pco133309c
Zm00001d018141,NDI,-
Zm00001d018201,rn,-
Zm00001d018209,RGBVI,GRMZM2G084086
Zm00001d018259,GRVI,atg12
