GeneName,Trait,GeneSymbol
Zm00001d002827,65: CIVE/COM/veg/RGBVI/GreenCoverage/ExG/ExGR/GLI/gn; 73: CIVE/RGBVI/COM/GreenCoverage; 80: CIVE/ExGR/veg/GreenCoverage/COM; 88: CIVE/COM/GreenCoverage; 94: GreenCoverage,-
Zm00001d002830,73: GreenCoverage,ivr1
Zm00001d002835,73: CIVE/COM/GreenCoverage; 80: CIVE/GreenCoverage/COM; 88: CIVE/COM/GreenCoverage; 94: CIVE/COM/GreenCoverage,-
Zm00001d002845,115: IKAW,-
Zm00001d002846,12: veg,-
Zm00001d002869,65: GreenCoverage,-
Zm00001d002875,101: GLI2/rn; 12: GreenCoverage,mneap3
Zm00001d002881,115: ExG/GLI/RGBVI/gn/veg,-
Zm00001d002917,101: RGB_R; 115: ExG/GLI/gn/veg,-
Zm00001d002922,12: rn/IKAW/GLI2,-
Zm00001d002936,37: RGB_R/ints/IKAW; 44: ints/RGB_R; 51: ints/RGB_R/veg/GLI/gn/IKAW/COM/ExG/RGBVI/GreenCoverage,impb5
Zm00001d002939,80: ExGR,mctp2
Zm00001d002941,88: CIVE/COM/GreenCoverage; 94: CIVE/COM/GreenCoverage,magi100893
Zm00001d002949,19: ints,Zm00001d002949
Zm00001d002950,10: gn/RGBVI/ExG/GLI; 80: GLI2/rn,chr5
Zm00001d002953,14: CIVE/GLI/ExG/gn/COM; 17: veg/GLI/gn/ExG; 19: CIVE/RGBVI/ExG/GLI/gn/COM,-
Zm00001d002954,73: GreenCoverage; 88: CIVE/COM/GreenCoverage; 94: CIVE/GLI/COM/GreenCoverage/ExG/RGBVI/gn,-
Zm00001d002955,88: CIVE/COM; 94: CIVE/COM/GreenCoverage,-
Zm00001d002956,88: ExR/GRVI/MGRVI; 94: ExGR/MGRVI/ExR/GLI2/GRVI/NDI,-
Zm00001d002984,51: ExGR/veg/GLI/gn/ExG/RGBVI,GRMZM2G035755
Zm00001d002991,19: ints; 24: IKAW,cl45746_-1e
Zm00001d002999,65: ExR/MGRVI/GLI2/NDI/ExGR/GRVI,ga2ox2
Zm00001d003004,73: CIVE/COM/GreenCoverage,-
Zm00001d003013,88: GreenCoverage,LOC103646208
Zm00001d003031,65: CIVE/COM/GreenCoverage; 73: CIVE/COM/GreenCoverage; 80: CIVE/GreenCoverage/COM; 88: CIVE/COM/GreenCoverage,AY104214
Zm00001d003033,26: IKAW,AI691686
Zm00001d003035,44: CIVE/COM/GreenCoverage,-
Zm00001d003038,37: CIVE/COM; 44: veg/ExGR/GreenCoverage; 51: rn/ExGR/veg/GLI/NDI/gn/MGRVI/ExG/ExR/RGBVI/GLI2/GRVI; 65: GreenCoverage; 80: CIVE/GreenCoverage/COM,-
Zm00001d003046,73: GreenCoverage; 88: GreenCoverage,glu24
Zm00001d003048,65: GreenCoverage; 88: GreenCoverage,AF056157
Zm00001d003049,65: COM/GreenCoverage; 88: GreenCoverage,-
Zm00001d003050,108: RGB_R; 115: GLI2/RGB_R,-
Zm00001d003051,65: CIVE/COM/GreenCoverage,-
Zm00001d003058,73: ExG/GLI/gn/RGBVI,IDP8031
Zm00001d003059,37: CIVE/COM,IDP7441
Zm00001d003069,73: CIVE/COM/GreenCoverage; 88: GreenCoverage,wakl17
Zm00001d003082,115: CIVE/GreenCoverage/ExG/GLI/COM/gn/veg,-
Zm00001d003083,65: CIVE/COM/GreenCoverage,idh7
Zm00001d003085,65: CIVE/COM/RGBVI/GreenCoverage/ExG/GLI/gn; 73: GreenCoverage; 80: veg; 88: CIVE/COM/GreenCoverage; 94: GreenCoverage,csu861
Zm00001d003086,80: ExGR,-
Zm00001d003087,101: ints/RGB_R; 115: ints; 17: RGBVI; 51: rn/IKAW/GLI2; 65: RGBVI; 73: GreenCoverage/ints; 88: RGBVI/GLI/IKAW,-
Zm00001d003088,65: RGBVI/ExG/GLI/gn; 73: ExG/GLI/gn/RGBVI,-
Zm00001d003091,65: CIVE/COM,Zm00001d003091
Zm00001d003108,73: CIVE/COM/GreenCoverage,aprt1
Zm00001d003115,19: IKAW,-
Zm00001d003118,88: CIVE/COM/GreenCoverage,-
Zm00001d003124,101: CIVE/ExG/veg/GLI/gn/GreenCoverage/COM/RGBVI; 94: veg,Zm00001d003124
Zm00001d003125,101: ExG/veg/GLI/gn/RGBVI; 115: GreenCoverage,mgt3
Zm00001d003146,14: MGRVI/ExGR/GRVI/ExR/NDI; 15: NDI/GRVI/rn/ExR/IKAW/GLI2/ExGR/MGRVI; 19: GLI2/GRVI/MGRVI/NDI/rn/ExGR/ExR; 26: rn,-
Zm00001d003147,14: GLI/ExG/gn,cl533_1
Zm00001d003163,94: IKAW,-
Zm00001d003176,88: CIVE/COM/GreenCoverage,nlp3
Zm00001d003180,65: CIVE/COM,bzip121
Zm00001d003185,101: ints; 108: ints; 115: ints; 19: GRVI/MGRVI/NDI/ExR,LOC100273371/LOC103646277
Zm00001d003194,101: GLI2/ExG/GRVI/veg/ExGR/ExR/NDI/rn/GLI/gn/MGRVI,-
Zm00001d003198,17: CIVE/GLI/gn/COM/RGBVI/ExG; 88: CIVE/gn/COM/ExG/GLI/GreenCoverage; 94: CIVE/COM/GreenCoverage,IDP317
Zm00001d003200,115: GreenCoverage,cl1856_4
Zm00001d003207,65: CIVE/COM,IDP7686
Zm00001d003213,65: veg/RGBVI/ExG/ExGR/GLI/gn; 94: CIVE/COM,Zm00001d003213
Zm00001d003218,88: gn/RGBVI/ExG/GLI/IKAW; 94: RGBVI,-
Zm00001d003246,12: CIVE/ints/COM; 14: CIVE/veg/GLI/ExG/gn/COM,GRMZM2G030598
